people_id,person_hash,party_id,state_id,party,role_id,role,name,first_name,middle_name,last_name,suffix,nickname,district,ftm_eid,votesmart_id,opensecrets_id,knowwho_pid,ballotpedia,bioguide_id,committee_sponsor,committee_id,state_federal
20098,vfwl31f5,2,52,R,1,Rep,John Rose,John,W.,Rose,,,HD-TN-6,44045074,180452,N00041599,632997,John_Rose_(Tennessee),R000612,0,0,0
20100,cqzhn7pe,2,52,R,1,Rep,Chip Roy,Chip,,Roy,,,HD-TX-21,44449969,177319,N00042268,223268,Chip_Roy,R000614,0,0,0
20103,clc8hanm,1,52,D,1,Rep,Rebecca Sherrill,Rebecca,Michelle,Sherrill,,Mikie,HD-NJ-11,43965079,179651,N00041154,625260,Mikie_Sherrill,S001207,0,0,0
20104,urw0w0iq,1,52,D,2,Sen,Elissa Slotkin,Elissa,,Slotkin,,,SD-MI,44044762,181080,N00041357,261745,Elissa_Slotkin,S001208,0,0,0
20107,pmq7yftp,1,52,D,1,Rep,Greg Stanton,Greg,,Stanton,,,HD-AZ-4,44044364,72030,N00041750,638908,Greg_Stanton,S001211,0,0,0
20108,1zy2f82t,2,52,R,1,Rep,Pete Stauber,Pete,,Stauber,,,HD-MN-8,44044791,159954,N00041511,630211,Pete_Stauber,S001212,0,0,0
20109,bd7h9wdk,2,52,R,1,Rep,Bryan Steil,Bryan,,Steil,,,HD-WI-1,45356811,181289,N00043379,664604,Bryan_Steil,S001213,0,0,0
20110,a7fpcibx,2,52,R,1,Rep,Greg Steube,Greg,,Steube,,,HD-FL-17,6692870,117248,N00042808,289471,Greg_Steube,S001214,0,0,12397
20111,lr9fsdh3,1,52,D,1,Rep,Haley Stevens,Haley,,Stevens,,,HD-MI-11,44044764,181092,N00040915,623571,Haley_Stevens,S001215,0,0,0
20112,4cjgano2,1,52,D,1,Rep,Kim Schrier,Kim,,Schrier,,,HD-WA-8,44045231,181124,N00041606,632874,Kim_Schrier,S001216,0,0,0
20114,sbb50n88,2,52,R,1,Rep,William Timmons,William,R.,Timmons,IV,,HD-SC-4,20742278,168923,N00042715,575426,William_Timmons,T000480,0,0,18035
20115,pie8gfo6,1,52,D,1,Rep,Rashida Tlaib,Rashida,,Tlaib,,,HD-MI-12,13002117,105368,N00042649,268236,Rashida_Tlaib,T000481,0,0,2820
20116,6vjcpbk4,1,52,D,1,Rep,Lori Trahan,Lori,,Trahan,,,HD-MA-3,15875826,182310,N00041808,636951,Lori_Trahan,T000482,0,0,0
